is_banked,code_module_x,code_presentation_x,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,final_result,code_module_y,code_presentation_y
0,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,Withdrawn,AAA,2013J
0,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,Fail,AAA,2013J
0,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,Withdrawn,AAA,2013J
0,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,Fail,AAA,2013J
1,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,Withdrawn,AAA,2013J
1,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,Fail,AAA,2013J
1,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,Withdrawn,AAA,2013J
1,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,Fail,AAA,2013J
0,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,Withdrawn,AAA,2013J
0,AAA,2014J,M,South Region,Lower Than A Level,70-80%,35-55,1,Pass,AAA,2013J
1,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,Withdrawn,AAA,2013J
1,AAA,2014J,M,South Region,Lower Than A Level,70-80%,35-55,1,Pass,AAA,2013J
0,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,Withdrawn,AAA,2013J
0,AAA,2014J,M,South Region,Lower Than A Level,70-80%,35-55,1,Pass,AAA,2013J
0,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,Withdrawn,AAA,2013J
0,AAA,2014J,M,South Region,Lower Than A Level,70-80%,35-55,1,Pass,AAA,2013J
0,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,Withdrawn,AAA,2013J
0,AAA,2014J,M,South Region,Lower Than A Level,70-80%,35-55,1,Pass,AAA,2013J
0,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,Withdrawn,AAA,2013J
0,AAA,2014J,M,South Region,Lower Than A Level,70-80%,35-55,1,Pass,AAA,2013J
0,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,Withdrawn,AAA,2013J
0,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,Withdrawn,AAA,2013J
0,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,Withdrawn,AAA,2013J
0,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,Withdrawn,AAA,2013J
0,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,Withdrawn,AAA,2014J
0,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,Withdrawn,AAA,2013J
0,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,Withdrawn,AAA,2014J
0,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,Withdrawn,AAA,2013J
0,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,Withdrawn,AAA,2014J
0,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,Withdrawn,AAA,2013J
0,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,Withdrawn,AAA,2014J
0,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,Withdrawn,AAA,2013J
0,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,Withdrawn,AAA,2014J
0,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,Withdrawn,AAA,2013J
0,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,Withdrawn,AAA,2014J
1,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,Withdrawn,AAA,2013J
1,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,Withdrawn,AAA,2014J
1,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,Withdrawn,AAA,2013J
1,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,Withdrawn,AAA,2014J
1,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,Withdrawn,AAA,2013J
1,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,Withdrawn,AAA,2014J
1,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,Withdrawn,AAA,2013J
