code_module,code_presentation,id_student,date_registration,date_unregistration
AAA,2013J,30268,-92.0,12.0
AAA,2013J,65002,-180.0,96.0
AAA,2013J,94961,-170.0,72.0
AAA,2013J,106247,5.0,175.0
AAA,2013J,129955,-197.0,135.0
AAA,2013J,135335,-29.0,30.0
AAA,2013J,135400,-32.0,144.0
AAA,2013J,141377,-110.0,129.0
AAA,2013J,147793,-138.0,58.0
AAA,2013J,148993,-174.0,158.0
AAA,2013J,155984,-64.0,191.0
AAA,2013J,159954,-46.0,123.0
AAA,2013J,181316,-39.0,60.0
AAA,2013J,188278,-57.0,60.0
AAA,2013J,195262,-45.0,185.0
AAA,2013J,202635,-73.0,166.0
AAA,2013J,235507,-79.0,109.0
AAA,2013J,260355,-186.0,170.0
AAA,2013J,268733,-17.0,187.0
AAA,2013J,277880,-108.0,177.0
AAA,2013J,292923,-162.0,-121.0
AAA,2013J,305539,-54.0,-3.0
AAA,2013J,331358,-67.0,53.0
AAA,2013J,334333,-192.0,65.0
AAA,2013J,335764,-196.0,160.0
AAA,2013J,342007,-71.0,51.0
AAA,2013J,354858,-32.0,5.0
AAA,2013J,390890,-31.0,202.0
AAA,2013J,405961,-170.0,-100.0
AAA,2013J,415969,-60.0,172.0
AAA,2013J,442442,-32.0,119.0
AAA,2013J,470588,-43.0,73.0
AAA,2013J,568601,-30.0,128.0
AAA,2013J,603861,-38.0,241.0
AAA,2013J,721259,-73.0,23.0
AAA,2013J,969076,-42.0,173.0
AAA,2013J,1352868,-63.0,203.0
AAA,2013J,1456619,-87.0,27.0
AAA,2013J,1686521,-124.0,37.0
AAA,2013J,1758449,-198.0,103.0
AAA,2013J,1763015,-58.0,-2.0
AAA,2013J,1970390,-108.0,240.0
AAA,2013J,2065691,-16.0,138.0
AAA,2013J,2073016,-65.0,173.0
AAA,2013J,2139353,-59.0,163.0
AAA,2013J,2149225,-36.0,10.0
AAA,2013J,2255601,-28.0,175.0
AAA,2013J,2312620,-45.0,178.0
AAA,2013J,2318055,-56.0,-19.0
AAA,2013J,2324976,-101.0,-50.0
AAA,2013J,2358969,-53.0,58.0
AAA,2013J,2365101,-129.0,-80.0
AAA,2013J,2391984,-101.0,242.0
AAA,2013J,2411778,-35.0,220.0
AAA,2013J,2429854,-52.0,114.0
AAA,2013J,2470694,-106.0,219.0
AAA,2013J,2542724,-59.0,13.0
AAA,2013J,2552472,-38.0,199.0
AAA,2013J,2569324,-81.0,93.0
AAA,2013J,2576122,-137.0,39.0
AAA,2014J,79403,-23.0,164.0
AAA,2014J,87431,-106.0,235.0
AAA,2014J,95755,-80.0,241.0
AAA,2014J,119902,-31.0,207.0
AAA,2014J,129955,-143.0,143.0
AAA,2014J,135335,-82.0,24.0
AAA,2014J,151587,-129.0,234.0
AAA,2014J,152668,-72.0,104.0
AAA,2014J,158707,-57.0,172.0
AAA,2014J,159954,-24.0,201.0
AAA,2014J,175772,-45.0,67.0
AAA,2014J,260355,-156.0,-87.0
AAA,2014J,274947,-43.0,229.0
AAA,2014J,275674,-155.0,132.0
AAA,2014J,277880,-11.0,158.0
AAA,2014J,323805,-144.0,-101.0
AAA,2014J,328734,-144.0,-47.0
AAA,2014J,337748,-70.0,165.0
AAA,2014J,341876,-155.0,72.0
AAA,2014J,348275,-103.0,128.0
AAA,2014J,369834,-74.0,227.0
AAA,2014J,381642,-88.0,229.0
AAA,2014J,383180,-88.0,172.0
AAA,2014J,387954,-150.0,18.0
AAA,2014J,440319,-88.0,174.0
AAA,2014J,468694,-23.0,240.0
AAA,2014J,470588,-154.0,240.0
AAA,2014J,488382,-155.0,-137.0
AAA,2014J,514526,-22.0,-12.0
AAA,2014J,522482,-87.0,80.0
AAA,2014J,561467,-46.0,58.0
AAA,2014J,567922,-49.0,-22.0
AAA,2014J,593846,-154.0,227.0
AAA,2014J,598070,-150.0,-2.0
AAA,2014J,603861,-92.0,150.0
AAA,2014J,608440,-37.0,-11.0
AAA,2014J,623710,-129.0,-129.0
AAA,2014J,628088,-135.0,51.0
AAA,2014J,628312,-14.0,9.0
AAA,2014J,630142,-24.0,166.0
AAA,2014J,642878,-108.0,73.0
AAA,2014J,648130,-53.0,228.0
AAA,2014J,676546,-38.0,180.0
AAA,2014J,696578,-22.0,182.0
AAA,2014J,721259,-30.0,128.0
AAA,2014J,1183831,-115.0,166.0
AAA,2014J,1398979,-72.0,213.0
AAA,2014J,1456619,-99.0,63.0
AAA,2014J,1469279,-51.0,-22.0
AAA,2014J,1676594,-73.0,32.0
AAA,2014J,1686551,-99.0,108.0
AAA,2014J,1689639,-154.0,110.0
AAA,2014J,1839386,-67.0,34.0
AAA,2014J,2158048,-8.0,55.0
AAA,2014J,2158196,-115.0,12.0
AAA,2014J,2168833,-53.0,146.0
AAA,2014J,2273119,-44.0,135.0
AAA,2014J,2313257,-101.0,-16.0
AAA,2014J,2365101,-85.0,-54.0
AAA,2014J,2474849,-73.0,132.0
AAA,2014J,2507842,-128.0,38.0
AAA,2014J,2540168,-46.0,226.0
AAA,2014J,2546445,-30.0,58.0
AAA,2014J,2551932,-38.0,175.0
